,gH2AX_foci,pRPA_foci,RAD51_foci
U54-TMA-9_sceneA07_cell3534.0,0.0,,
U54-TMA-9_sceneA07_cell3535.0,0.0,,
U54-TMA-9_sceneA07_cell3538.0,1.0,,
U54-TMA-9_sceneA07_cell3540.0,0.0,,
U54-TMA-9_sceneA07_cell3547.0,1.0,,
U54-TMA-9_sceneA07_cell3552.0,0.0,,
U54-TMA-9_sceneA07_cell3578.0,0.0,,
U54-TMA-9_sceneA08_cell48.0,,0.0,
U54-TMA-9_sceneA08_cell57.0,,0.0,
U54-TMA-9_sceneA08_cell60.0,,0.0,
U54-TMA-9_sceneA08_cell233.0,,0.0,
U54-TMA-9_sceneA08_cell292.0,,0.0,
U54-TMA-9_sceneA08_cell312.0,0.0,,
U54-TMA-9_sceneA08_cell313.0,,0.0,
U54-TMA-9_sceneA08_cell325.0,0.0,,
U54-TMA-9_sceneA08_cell391.0,1.0,,
U54-TMA-9_sceneA08_cell393.0,0.0,,
U54-TMA-9_sceneA08_cell396.0,0.0,,
U54-TMA-9_sceneA08_cell399.0,0.0,,
U54-TMA-9_sceneA08_cell400.0,0.0,,
U54-TMA-9_sceneA08_cell403.0,0.0,,
U54-TMA-9_sceneA08_cell406.0,0.0,,
U54-TMA-9_sceneA08_cell423.0,,0.0,
U54-TMA-9_sceneA08_cell427.0,0.0,,
U54-TMA-9_sceneA08_cell446.0,0.0,,
U54-TMA-9_sceneA08_cell447.0,0.0,,
U54-TMA-9_sceneA08_cell449.0,1.0,,
U54-TMA-9_sceneA08_cell460.0,0.0,,
U54-TMA-9_sceneA08_cell468.0,0.0,,
U54-TMA-9_sceneA08_cell492.0,,0.0,
U54-TMA-9_sceneA08_cell496.0,0.0,,
U54-TMA-9_sceneA08_cell511.0,0.0,,
U54-TMA-9_sceneA08_cell512.0,0.0,,
U54-TMA-9_sceneA08_cell513.0,0.0,,
U54-TMA-9_sceneA08_cell515.0,0.0,,
U54-TMA-9_sceneA08_cell518.0,0.0,,
U54-TMA-9_sceneA08_cell541.0,0.0,,
